TransactionID,Date,ProductName,Category,Region,SalesChannel,Quantity,UnitPrice,TotalAmount,PaymentMode,CustomerID
TXN000028,15-07-2024,Saree,Clothing,West,Offline,3,2857.6,8572.8,Credit Card,CUST03582
TXN000029,18-03-2024,Pulses Pack,Grocery,East,Online,9,8376.67,75390.03,Cash,CUST03795
TXN000030,30-08-2024,Kurta,Clothing,South,Offline,4,8660.04,34640.16,Cash,CUST00675
TXN000031,23-01-2025,Television,Electronics,North,Offline,5,4287.77,21438.85,Net Banking,CUST00635
TXN000032,13-07-2024,Dining Table,Furniture,East,Online,6,665.94,3995.64,Net Banking,CUST02060
TXN000033,27-06-2025,T-Shirt,Clothing,East,Online,2,5990.85,11981.7,Credit Card,CUST01654
TXN000034,02-05-2024,Football,Sports,East,Online,7,6607.99,46255.93,UPI,CUST03829
TXN000035,24-09-2024,Shorts,Clothing,West,Offline,7,1395.69,9769.83,UPI,CUST01873
TXN000036,19-11-2024,Smartphone,Electronics,South,Online,2,5422.58,10845.16,UPI,CUST00543
TXN000037,23-12-2024,Smartwatch,Electronics,North,Offline,3,4438.03,13314.09,UPI,CUST02506
TXN000038,31-10-2025,Cricket Bat,Sports,North,Online,3,2718.21,8154.63,Cash,CUST03041
TXN000039,20-07-2025,Sweater,Clothing,North,Online,6,2115.61,12693.66,UPI,CUST02071
TXN000040,15-05-2025,Wardrobe,Furniture,East,Online,7,8310.55,58173.85,Cash,CUST00015
TXN000041,07-12-2024,Sweater,Clothing,West,Offline,9,7086.11,63774.99,Cash,CUST00459
TXN000042,18-03-2024,Shampoo,Beauty,East,Offline,10,5570,55700,Net Banking,CUST00523
TXN000043,12-02-2024,Office Chair,Furniture,East,Offline,4,6852.46,27409.84,Cash,CUST01449
TXN000044,27-07-2025,Tea Powder,Grocery,West,Online,3,9764.44,29293.32,Credit Card,CUST03611
TXN000045,26-02-2025,Headphones,Electronics,North,Offline,4,2741.38,10965.52,Cash,CUST01567
TXN000046,09-02-2024,Cooking Oil,Grocery,West,Offline,6,3121.39,18728.34,Credit Card,CUST00914
TXN000047,25-01-2024,Shampoo,Beauty,South,Offline,5,8657.09,43285.45,UPI,CUST01439
TXN000048,18-10-2025,Dumbbells,Sports,North,Online,2,8782.68,17565.36,UPI,CUST00732
TXN000049,17-08-2025,Sofa,Furniture,East,Offline,6,7312.6,43875.6,UPI,CUST01788
TXN000050,12-09-2025,Cricket Bat,Sports,South,Online,5,539.43,2697.15,Net Banking,CUST00007
TXN000051,16-06-2025,Badminton Racket,Sports,West,Offline,7,792.74,5549.18,UPI,CUST02553
TXN000052,17-11-2024,Face Wash,Beauty,East,Offline,9,3161.92,28457.28,Net Banking,CUST01337
TXN000053,16-02-2025,Lipstick,Beauty,West,Online,7,6682.8,46779.6,Net Banking,CUST02775
TXN000054,27-06-2024,Running Shoes,Sports,North,Offline,9,8353.88,75184.92,UPI,CUST01176
TXN000055,03-08-2024,Pulses Pack,Grocery,North,Offline,8,4477.38,35819.04,Credit Card,CUST02094
TXN000056,29-04-2025,Shampoo,Beauty,East,Offline,9,6672.15,60049.35,UPI,CUST00383
TXN000057,28-08-2024,Lipstick,Beauty,West,Online,3,341.81,1025.43,Credit Card,CUST01947
TXN000058,17-09-2025,Camera,Electronics,South,Online,7,4994.33,34960.31,Credit Card,CUST00605
TXN000059,02-11-2025,Face Cream,Beauty,East,Offline,4,1841.28,7365.12,Net Banking,CUST00206
TXN000060,24-07-2025,Jeans,Clothing,South,Online,8,6709.02,53672.16,UPI,CUST03892
TXN000061,29-03-2025,Tennis Ball,Sports,South,Offline,3,7462.19,22386.57,Net Banking,CUST01844
TXN000062,22-09-2024,Sweater,Clothing,South,Online,5,4454.74,22273.7,UPI,CUST00961
TXN000063,05-10-2024,Office Chair,Furniture,East,Online,3,2389.49,7168.47,Credit Card,CUST02894
TXN000064,07-08-2024,Television,Electronics,South,Offline,9,4712.65,42413.85,Cash,CUST00848
TXN000065,06-03-2025,Pulses Pack,Grocery,East,Offline,8,158.37,1266.96,UPI,CUST01224
TXN000066,03-02-2025,Tea Powder,Grocery,West,Offline,4,2802.06,11208.24,Net Banking,CUST00119
TXN000067,02-02-2025,Coffee Table,Furniture,South,Online,8,9203.46,73627.68,Cash,CUST03715
TXN000068,07-02-2025,Running Shoes,Sports,East,Online,7,1443.42,10103.94,Net Banking,CUST00745
TXN000069,21-02-2024,Bookshelf,Furniture,North,Online,8,3335.77,26686.16,Net Banking,CUST01140
TXN000070,07-03-2025,Wardrobe,Furniture,East,Offline,1,7515.34,7515.34,Cash,CUST03900
TXN000071,24-12-2024,Jeans,Clothing,East,Online,4,2073.67,8294.68,Cash,CUST02545
TXN000072,05-06-2024,Jacket,Clothing,South,Online,10,9482.79,94827.9,Net Banking,CUST02866
TXN000073,19-09-2024,Dining Table,Furniture,East,Online,5,1170.18,5850.9,Cash,CUST03805
TXN000074,15-11-2024,Badminton Racket,Sports,South,Offline,4,852.37,3409.48,Credit Card,CUST00418
TXN000075,14-12-2025,Wardrobe,Furniture,East,Online,6,5374.18,32245.08,UPI,CUST00283
TXN000076,02-06-2025,Lipstick,Beauty,East,Offline,8,1144.83,9158.64,UPI,CUST02604
TXN000077,15-04-2025,Shampoo,Beauty,South,Online,9,9658.19,86923.71,UPI,CUST02523
TXN000078,05-07-2025,Sugar,Grocery,South,Offline,6,8531.96,51191.76,Cash,CUST01143
TXN000079,06-04-2025,Saree,Clothing,South,Offline,1,4993.63,4993.63,UPI,CUST00745
TXN000080,14-05-2025,Shorts,Clothing,North,Offline,5,8815.17,44075.85,UPI,CUST02277
TXN000081,11-01-2024,Football,Sports,East,Online,7,4936.92,34558.44,Credit Card,CUST02829
TXN000082,02-05-2025,Hair Oil,Beauty,South,Offline,1,1021.23,1021.23,Credit Card,CUST01657
TXN000083,09-12-2025,Sweater,Clothing,North,Offline,9,5356.13,48205.17,Net Banking,CUST03056
TXN000084,17-07-2025,Office Chair,Furniture,South,Offline,5,2588.9,12944.5,Cash,CUST02955
TXN000085,16-07-2024,Sofa,Furniture,West,Online,4,7412.19,29648.76,UPI,CUST02968
TXN000086,26-08-2025,Running Shoes,Sports,North,Online,4,3032.84,12131.36,UPI,CUST00735
TXN000087,05-11-2024,Headphones,Electronics,North,Online,1,5578.25,5578.25,Credit Card,CUST02613
TXN000088,17-05-2025,Smartphone,Electronics,North,Offline,8,4460.64,35685.12,Credit Card,CUST03955
TXN000089,22-02-2024,Wardrobe,Furniture,South,Online,2,4067,8134,Cash,CUST02364
TXN000090,06-10-2025,Face Cream,Beauty,West,Online,10,9496.34,94963.4,Cash,CUST01017
TXN000091,01-05-2024,Tennis Ball,Sports,South,Online,9,3865.74,34791.66,Net Banking,CUST01218
TXN000092,25-08-2025,Wheat Flour,Grocery,East,Online,4,6292.6,25170.4,UPI,CUST02706
TXN000093,24-03-2024,Dress,Clothing,West,Online,3,126.49,379.47,Net Banking,CUST02824
TXN000094,31-08-2025,Wheat Flour,Grocery,East,Online,5,7098.86,35494.3,Net Banking,CUST00292
TXN000095,04-12-2025,Sweater,Clothing,West,Offline,2,5491.17,10982.34,Credit Card,CUST03721
TXN000096,29-09-2024,Jeans,Clothing,East,Online,5,5990.94,29954.7,UPI,CUST01799
TXN000097,07-05-2024,Spices Pack,Grocery,North,Offline,5,5054.67,25273.35,Net Banking,CUST01794
TXN000098,23-03-2024,Cricket Bat,Sports,South,Offline,10,2578.64,25786.4,Cash,CUST00938
TXN000099,21-11-2025,Running Shoes,Sports,East,Offline,10,498.29,4982.9,Credit Card,CUST01928
TXN000100,15-06-2025,Perfume,Beauty,North,Online,10,4415.26,44152.6,Net Banking,CUST03970
TXN000101,03-04-2024,Wheat Flour,Grocery,South,Offline,6,6734.32,40405.92,Credit Card,CUST01351
TXN000102,25-02-2025,Perfume,Beauty,North,Offline,9,463.3,4169.7,Cash,CUST01289
TXN000103,15-09-2024,Sofa,Furniture,South,Online,9,4673.57,42062.13,Cash,CUST00769
TXN000104,14-06-2025,Bed Frame,Furniture,South,Offline,1,2115.23,2115.23,Credit Card,CUST03800
TXN000105,21-10-2024,Spices Pack,Grocery,South,Online,1,9734.15,9734.15,Credit Card,CUST02908
TXN000106,11-06-2024,Bed Frame,Furniture,East,Offline,2,2324.54,4649.08,Cash,CUST01891
TXN000107,30-04-2024,Face Wash,Beauty,West,Offline,5,5137.83,25689.15,UPI,CUST01702
TXN000108,09-05-2025,Cooking Oil,Grocery,South,Online,7,1987.04,13909.28,Credit Card,CUST03540
TXN000109,12-03-2024,Wardrobe,Furniture,South,Offline,9,2745.01,24705.09,Cash,CUST01159
TXN000110,01-11-2024,Running Shoes,Sports,South,Online,8,5431.95,43455.6,UPI,CUST01362
TXN000111,19-07-2025,Dumbbells,Sports,South,Offline,4,9809.67,39238.68,Credit Card,CUST02343
TXN000112,27-01-2025,Kurta,Clothing,East,Offline,8,7081.76,56654.08,Net Banking,CUST01582
TXN000113,10-11-2025,Shampoo,Beauty,South,Online,3,5072.68,15218.04,UPI,CUST03563
TXN000114,12-04-2024,Rice Bag,Grocery,South,Online,3,4158.79,12476.37,Credit Card,CUST00307
TXN000115,25-04-2025,Office Chair,Furniture,South,Online,6,8538.18,51229.08,Net Banking,CUST03909
TXN000116,20-11-2024,Hair Oil,Beauty,South,Online,10,777.37,7773.7,UPI,CUST00932
TXN000117,02-04-2024,Rice Bag,Grocery,East,Offline,3,6970.61,20911.83,Cash,CUST00189
TXN000118,28-11-2024,Tablet,Electronics,North,Offline,7,1541.14,10787.98,Net Banking,CUST02319
TXN000119,29-11-2025,Jacket,Clothing,West,Online,10,8721.31,87213.1,Credit Card,CUST02039
TXN000120,20-08-2025,Dress,Clothing,South,Offline,8,2627.73,21021.84,Cash,CUST03682
TXN000121,21-04-2025,Coffee Table,Furniture,West,Online,8,9457.83,75662.64,UPI,CUST02618
TXN000122,10-03-2025,Lipstick,Beauty,South,Offline,4,9993.8,39975.2,Net Banking,CUST00437
TXN000123,30-08-2024,Tea Powder,Grocery,North,Offline,5,317.2,1586,Net Banking,CUST01125
TXN000124,09-01-2024,Tennis Ball,Sports,East,Offline,5,7779.84,38899.2,Credit Card,CUST02487
TXN000125,26-12-2024,Dress,Clothing,North,Online,2,9043.7,18087.4,Cash,CUST01266
TXN000126,27-03-2025,Bluetooth Speaker,Electronics,West,Online,5,3334.52,16672.6,Net Banking,CUST00720
TXN000127,24-07-2024,Shorts,Clothing,North,Online,5,9149.08,45745.4,Net Banking,CUST03963
TXN000128,29-10-2024,Face Wash,Beauty,North,Online,8,9632.64,77061.12,Credit Card,CUST03090
TXN000129,19-08-2024,Hair Oil,Beauty,South,Offline,2,7927.75,15855.5,Cash,CUST01084
TXN000130,03-07-2025,Camera,Electronics,North,Offline,10,3872.15,38721.5,UPI,CUST00444
TXN000131,22-11-2025,Saree,Clothing,East,Offline,10,2291.54,22915.4,Cash,CUST02603
TXN000132,20-04-2025,Lipstick,Beauty,South,Online,3,548.93,1646.79,Cash,CUST01247
TXN000133,19-05-2025,Laptop,Electronics,West,Online,7,4591.07,32137.49,Net Banking,CUST02406
TXN000134,07-06-2024,Spices Pack,Grocery,East,Offline,10,4140.35,41403.5,UPI,CUST00135
TXN000135,07-12-2025,Dining Table,Furniture,South,Offline,4,8568.96,34275.84,Cash,CUST02809
TXN000136,11-01-2025,Badminton Racket,Sports,North,Online,7,2831.23,19818.61,Cash,CUST03888
TXN000137,10-04-2025,Smartwatch,Electronics,East,Online,6,2511.33,15067.98,Credit Card,CUST03224
TXN000138,01-08-2025,Jeans,Clothing,West,Online,4,3352.74,13410.96,Credit Card,CUST03231
TXN000139,02-09-2025,Tablet,Electronics,West,Online,9,2581.48,23233.32,Credit Card,CUST00451
TXN000140,07-11-2025,Headphones,Electronics,East,Offline,4,5929.64,23718.56,Cash,CUST00714
TXN000141,28-09-2024,Headphones,Electronics,South,Online,2,4814.84,9629.68,UPI,CUST02103
TXN000142,30-08-2025,Camera,Electronics,West,Online,9,3086.14,27775.26,Cash,CUST00250
TXN000143,05-05-2025,Sugar,Grocery,East,Offline,8,827.56,6620.48,Cash,CUST01320
TXN000144,14-09-2025,Jeans,Clothing,West,Offline,10,6367.46,63674.6,UPI,CUST01561
TXN000145,03-09-2025,Yoga Mat,Sports,South,Offline,2,7951.65,15903.3,Cash,CUST03494
TXN000146,01-11-2025,Face Wash,Beauty,West,Offline,8,8892.1,71136.8,Net Banking,CUST01389
TXN000147,09-04-2025,Sugar,Grocery,East,Offline,7,3193.98,22357.86,UPI,CUST01534
TXN000148,05-06-2024,Perfume,Beauty,East,Online,2,1022.98,2045.96,Cash,CUST03050
TXN000149,16-01-2025,T-Shirt,Clothing,North,Online,7,3600.62,25204.34,Net Banking,CUST03556
TXN000150,22-02-2024,Bed Frame,Furniture,North,Offline,2,5821.39,11642.78,Credit Card,CUST00634
TXN000151,03-11-2025,Cooking Oil,Grocery,East,Offline,9,3738.85,33649.65,UPI,CUST02352
TXN000152,19-08-2024,Pulses Pack,Grocery,East,Offline,1,1886.12,1886.12,UPI,CUST03775
TXN000153,13-12-2024,Sofa,Furniture,West,Online,10,6607.71,66077.1,Cash,CUST00582
TXN000154,10-10-2025,Laptop,Electronics,West,Offline,7,4591.09,32137.63,Credit Card,CUST01516
TXN000155,15-11-2024,Lipstick,Beauty,East,Online,3,1658.36,4975.08,Cash,CUST02761
TXN000156,24-03-2024,Bookshelf,Furniture,South,Offline,10,4476.24,44762.4,UPI,CUST00883
TXN000157,08-06-2025,Bluetooth Speaker,Electronics,South,Online,5,6814.36,34071.8,Net Banking,CUST02159
TXN000158,14-11-2025,Sofa,Furniture,West,Offline,10,642.34,6423.4,Credit Card,CUST01235
TXN000159,04-08-2024,Sweater,Clothing,North,Offline,2,176.53,353.06,Net Banking,CUST00720
TXN000160,12-05-2024,Tea Powder,Grocery,West,Offline,2,4031,8062,Cash,CUST01787
TXN000161,20-01-2024,Rice Bag,Grocery,North,Offline,10,4103.79,41037.9,Net Banking,CUST01186
TXN000162,27-04-2024,Rice Bag,Grocery,North,Online,10,4654.96,46549.6,UPI,CUST00361
TXN000163,23-03-2025,Smartwatch,Electronics,South,Offline,9,878.61,7907.49,UPI,CUST03055
TXN000164,13-12-2024,Shorts,Clothing,West,Online,9,6368.92,57320.28,Credit Card,CUST03711
TXN000165,23-12-2024,Coffee Table,Furniture,West,Online,2,1549.8,3099.6,Credit Card,CUST00711
TXN000166,08-09-2025,Jeans,Clothing,West,Offline,8,7569.01,60552.08,Net Banking,CUST02790
TXN000167,01-08-2025,Hair Oil,Beauty,North,Offline,3,4453.65,13360.95,Net Banking,CUST01812
TXN000168,08-10-2025,Wardrobe,Furniture,North,Online,6,5122.64,30735.84,UPI,CUST01892
TXN000169,07-04-2025,Smartphone,Electronics,North,Offline,2,6482.2,12964.4,Cash,CUST02520
TXN000170,31-08-2025,Dumbbells,Sports,South,Online,8,9099.59,72796.72,Credit Card,CUST01317
TXN000171,11-09-2025,Tea Powder,Grocery,West,Online,8,1124.67,8997.36,UPI,CUST02926
TXN000172,27-03-2024,Badminton Racket,Sports,West,Online,4,7105.45,28421.8,Net Banking,CUST02147
TXN000173,19-06-2025,Football,Sports,North,Offline,5,3935.42,19677.1,UPI,CUST02781
TXN000174,04-09-2025,Bluetooth Speaker,Electronics,East,Offline,2,5623.84,11247.68,Net Banking,CUST01164
TXN000175,15-09-2024,Face Wash,Beauty,West,Offline,2,5869.12,11738.24,Credit Card,CUST03755
TXN000176,24-12-2024,Coffee Table,Furniture,South,Online,10,7117.46,71174.6,Cash,CUST01269
TXN000177,26-07-2025,Spices Pack,Grocery,North,Online,9,1025.18,9226.62,Net Banking,CUST02083
TXN000178,05-01-2025,Bluetooth Speaker,Electronics,North,Online,4,3483.15,13932.6,Net Banking,CUST00787
TXN000179,19-08-2024,Jacket,Clothing,East,Offline,2,5126.13,10252.26,Cash,CUST02712
TXN000180,10-12-2024,Football,Sports,South,Online,3,1890.38,5671.14,Credit Card,CUST02954
TXN000181,24-03-2025,Television,Electronics,North,Online,8,6144.89,49159.12,Net Banking,CUST00959
TXN000182,30-06-2025,Sweater,Clothing,South,Online,6,6815.24,40891.44,Net Banking,CUST01892
TXN000183,15-10-2024,Tea Powder,Grocery,South,Online,4,8032.47,32129.88,Credit Card,CUST03576
TXN000184,13-09-2024,Camera,Electronics,North,Online,9,8526.54,76738.86,UPI,CUST00344
TXN000185,13-06-2024,Bookshelf,Furniture,West,Offline,2,9469.49,18938.98,Credit Card,CUST03346
TXN000186,06-04-2025,Sofa,Furniture,South,Online,7,5069.87,35489.09,Credit Card,CUST01582
TXN000187,24-03-2024,Dining Table,Furniture,East,Offline,2,8407.85,16815.7,UPI,CUST03242
TXN000188,29-05-2024,T-Shirt,Clothing,North,Offline,3,7612.53,22837.59,Net Banking,CUST01838
TXN000189,22-09-2025,Laptop,Electronics,East,Offline,4,8366.13,33464.52,Net Banking,CUST00456
TXN000190,22-10-2024,Sweater,Clothing,East,Online,4,4256.27,17025.08,Net Banking,CUST00258
TXN000191,23-04-2024,Tea Powder,Grocery,East,Online,3,2983.59,8950.77,Cash,CUST02519
TXN000192,27-12-2024,Kurta,Clothing,West,Online,9,9749.08,87741.72,Cash,CUST03906
TXN000193,22-06-2025,Running Shoes,Sports,East,Offline,8,530.99,4247.92,Net Banking,CUST01530
TXN000194,16-09-2024,Face Cream,Beauty,North,Online,6,2487.15,14922.9,Cash,CUST03161
TXN000195,18-08-2025,Face Wash,Beauty,North,Online,1,3587.76,3587.76,UPI,CUST03333
TXN000196,20-10-2025,Saree,Clothing,South,Online,3,724.7,2174.1,Net Banking,CUST00152
TXN000197,27-10-2024,T-Shirt,Clothing,West,Online,6,9340.37,56042.22,Net Banking,CUST03340
TXN000198,10-07-2025,Wheat Flour,Grocery,East,Online,5,3634.04,18170.2,Cash,CUST03547
TXN000199,02-11-2025,Office Chair,Furniture,East,Offline,7,8905.92,62341.44,Net Banking,CUST03665
TXN000200,30-01-2025,Dining Table,Furniture,South,Offline,6,9250.67,55504.02,UPI,CUST03282
TXN000201,25-03-2024,Perfume,Beauty,East,Offline,10,9951.47,99514.7,Credit Card,CUST02235
TXN000202,27-10-2024,Sofa,Furniture,East,Offline,5,3134.31,15671.55,Net Banking,CUST00683
TXN000203,07-12-2025,Wheat Flour,Grocery,South,Online,6,6187.03,37122.18,Net Banking,CUST01125
TXN000204,16-10-2025,Laptop,Electronics,South,Offline,9,8030.85,72277.65,Credit Card,CUST03903
TXN000205,01-02-2024,Saree,Clothing,East,Online,2,2436.35,4872.7,UPI,CUST01484
TXN000206,27-01-2025,Cricket Bat,Sports,West,Offline,6,3782.93,22697.58,Cash,CUST02351
TXN000207,20-05-2024,Yoga Mat,Sports,South,Offline,5,2571.16,12855.8,Cash,CUST00107
TXN000208,09-07-2024,Tea Powder,Grocery,South,Online,5,7772.15,38860.75,Net Banking,CUST00879
TXN000209,18-09-2025,Coffee Table,Furniture,South,Online,2,1443.71,2887.42,Cash,CUST01852
TXN000210,25-06-2024,Perfume,Beauty,East,Offline,6,7124.45,42746.7,UPI,CUST03651
TXN000211,03-11-2024,Jacket,Clothing,North,Online,2,9852.81,19705.62,Credit Card,CUST00970
TXN000212,20-05-2025,Bluetooth Speaker,Electronics,North,Offline,9,1384.74,12462.66,Cash,CUST00270
TXN000213,12-11-2024,Spices Pack,Grocery,South,Offline,7,8251.06,57757.42,Cash,CUST00514
TXN000214,20-11-2024,Face Cream,Beauty,South,Offline,9,3510.7,31596.3,Credit Card,CUST03145
TXN000215,12-05-2024,Tea Powder,Grocery,East,Online,9,1614.85,14533.65,Credit Card,CUST00664
TXN000216,26-11-2024,Shampoo,Beauty,North,Offline,2,2580.99,5161.98,UPI,CUST00513
TXN000217,02-10-2025,Bed Frame,Furniture,East,Online,10,9421.91,94219.1,Credit Card,CUST00702
TXN000218,05-11-2025,Badminton Racket,Sports,North,Online,1,904.11,904.11,UPI,CUST02668
TXN000219,03-08-2024,Dumbbells,Sports,East,Offline,9,2967.75,26709.75,UPI,CUST01979
TXN000220,07-09-2024,Perfume,Beauty,North,Offline,2,6917.27,13834.54,Credit Card,CUST01801
TXN000221,01-03-2025,Sugar,Grocery,West,Offline,10,1522.32,15223.2,UPI,CUST03008
TXN000222,19-12-2024,Cooking Oil,Grocery,North,Online,6,2493.2,14959.2,Cash,CUST01096
TXN000223,05-04-2025,Jacket,Clothing,East,Online,5,9459.31,47296.55,Net Banking,CUST01017
TXN000224,12-06-2024,Bed Frame,Furniture,North,Online,3,5032.83,15098.49,Net Banking,CUST02043
TXN000225,11-11-2024,Rice Bag,Grocery,East,Offline,9,4626.58,41639.22,Credit Card,CUST00882
TXN000226,20-08-2025,Sofa,Furniture,East,Offline,8,6015.44,48123.52,Net Banking,CUST01171
TXN000227,03-07-2025,Laptop,Electronics,South,Online,5,7302.33,36511.65,Net Banking,CUST01499
TXN000228,16-02-2024,Rice Bag,Grocery,West,Offline,9,2957.16,26614.44,Net Banking,CUST02066
TXN000229,06-04-2025,Yoga Mat,Sports,East,Online,2,3999.65,7999.3,UPI,CUST02285
TXN000230,09-01-2025,Dress,Clothing,South,Online,1,485.25,485.25,UPI,CUST03294
TXN000231,30-04-2025,Dumbbells,Sports,West,Online,6,9320.55,55923.3,UPI,CUST00666
TXN000232,06-02-2025,Badminton Racket,Sports,North,Offline,9,8300.06,74700.54,Net Banking,CUST02903
TXN000233,30-07-2025,Bookshelf,Furniture,East,Offline,6,6770.68,40624.08,Net Banking,CUST02391
TXN000234,11-11-2024,Face Wash,Beauty,East,Offline,5,9674,48370,Credit Card,CUST02955
TXN000235,22-02-2024,Dumbbells,Sports,West,Offline,3,8234.45,24703.35,Credit Card,CUST00130
TXN000236,09-08-2025,Face Cream,Beauty,West,Online,8,3205.56,25644.48,Credit Card,CUST01692
TXN000237,08-12-2025,Kurta,Clothing,South,Online,3,5234.96,15704.88,UPI,CUST02713
TXN000238,04-05-2025,Dumbbells,Sports,North,Online,8,9130.03,73040.24,UPI,CUST02238
TXN000239,28-12-2024,Face Wash,Beauty,North,Offline,4,9577.64,38310.56,UPI,CUST02286
TXN000240,01-11-2024,Sweater,Clothing,North,Online,8,3238.7,25909.6,UPI,CUST02296
TXN000241,07-10-2024,Sofa,Furniture,South,Offline,6,9550.63,57303.78,Credit Card,CUST01190
TXN000242,13-02-2024,Coffee Table,Furniture,East,Offline,8,6594.12,52752.96,Net Banking,CUST00877
TXN000243,25-07-2024,Yoga Mat,Sports,North,Online,2,6195.2,12390.4,Credit Card,CUST00994
TXN000244,21-02-2024,Sunscreen,Beauty,West,Online,1,1091.96,1091.96,UPI,CUST02939
TXN000245,28-04-2025,Headphones,Electronics,East,Online,7,6563.64,45945.48,Net Banking,CUST01956
TXN000246,28-10-2025,Sweater,Clothing,North,Offline,1,9088.58,9088.58,Cash,CUST02672
TXN000247,10-08-2025,T-Shirt,Clothing,West,Offline,3,9345.83,28037.49,Cash,CUST03426
TXN000248,10-02-2025,Cooking Oil,Grocery,North,Online,1,3054.08,3054.08,Cash,CUST03803
TXN000249,09-12-2024,Bookshelf,Furniture,South,Online,9,4733.41,42600.69,Credit Card,CUST03313
TXN000250,25-04-2024,Dining Table,Furniture,South,Offline,3,239.43,718.29,UPI,CUST03239
TXN000251,29-10-2024,Badminton Racket,Sports,West,Online,10,8575.85,85758.5,Net Banking,CUST03388
TXN000252,13-03-2025,Yoga Mat,Sports,East,Offline,2,1929.33,3858.66,Credit Card,CUST01956
TXN000253,27-11-2024,T-Shirt,Clothing,North,Offline,4,4522.68,18090.72,UPI,CUST03908
TXN000254,03-12-2024,Bed Frame,Furniture,East,Offline,6,6958.41,41750.46,Cash,CUST02736
TXN000255,01-05-2024,Wheat Flour,Grocery,West,Offline,9,9238.75,83148.75,UPI,CUST02828
TXN000256,30-04-2024,Lipstick,Beauty,North,Online,4,9577.87,38311.48,Net Banking,CUST00628
TXN000257,10-04-2025,Sunscreen,Beauty,North,Offline,9,9136.69,82230.21,Credit Card,CUST03121
TXN000258,10-09-2024,Face Wash,Beauty,East,Offline,9,7067.28,63605.52,Cash,CUST03758
TXN000259,31-07-2025,Smartphone,Electronics,West,Online,3,3348.36,10045.08,Net Banking,CUST00477
TXN000260,27-11-2025,Saree,Clothing,East,Offline,1,4588.98,4588.98,Net Banking,CUST01872
TXN000261,31-07-2025,Camera,Electronics,North,Online,7,2619.13,18333.91,Cash,CUST03055
TXN000262,11-08-2024,Cricket Bat,Sports,East,Offline,6,7033.81,42202.86,Cash,CUST03829
TXN000263,11-03-2024,Rice Bag,Grocery,North,Offline,3,7712.82,23138.46,Net Banking,CUST01534
TXN000264,26-01-2025,Pulses Pack,Grocery,South,Offline,2,6859.03,13718.06,Credit Card,CUST02677
